Time (s),X,Y,Sway Distance (cm),Sway Velocity (cm/s)
3.691391944885254,679,303,5.5,162.06852654578154
3.733245849609375,672,302,3.5355339059327378,84.47321532452267
3.7697856426239014,656,301,8.0156097709407,219.36658939896293
3.8191707134246826,654,302,1.118033988749895,22.639108755357057
3.8583626747131348,640,298,7.280109889280518,185.75518167358445
3.899740695953369,620,285,11.926860441876563,288.2414403683313
3.9392178058624268,612,281,4.47213595499958,113.28427955597363
3.980179786682129,604,278,4.272001872658765,104.2918771790448
4.025584697723389,596,270,5.656854249492381,124.58683696906611
4.063844680786133,593,264,3.3541019662496847,87.66605988165632
4.106215715408325,583,257,6.103277807866851,144.04363410730073
4.145805597305298,581,259,1.4142135623730951,35.72159083609786
4.183947563171387,580,260,0.7071067811865476,18.53881322397228
4.227049827575684,579,260,0.5,11.600318612266573
4.266800880432129,583,269,4.924428900898052,123.88172254661666
4.3085527420043945,583,277,4.0,95.80411146642302
4.348329782485962,579,289,6.324555320336759,159.0001479186856
4.389437913894653,578,287,1.118033988749895,27.197392594534502
4.432250738143921,579,287,0.5,11.678743665422955
4.472521781921387,578,286,0.7071067811865476,17.558690186774307
4.515368938446045,579,286,0.5,11.669385801885218
4.555691719055176,586,286,3.5,86.79956955169519
4.593908786773682,596,285,5.024937810560445,131.48412765658676
4.636592864990234,605,280,5.1478150704935,120.60269977898213
4.677383899688721,615,275,5.5901699437494745,137.04408297240164
4.720326900482178,619,275,2.0,46.57336383219703
4.799599647521973,637,281,9.486832980505138,119.67332197713229
4.838491678237915,643,280,3.0413812651491097,78.20062900193086
4.882594585418701,648,271,5.1478150704935,116.72280580941379
4.925359725952148,656,281,6.4031242374328485,149.72765569248784
4.963200569152832,664,287,5.0,132.13236220670885
5.005390644073486,665,286,0.7071067811865476,16.76002667727857
5.044044733047485,672,286,3.5,90.5466948750054
5.087166786193848,674,284,1.4142135623730951,32.795598984423485
5.1280457973480225,674,283,0.5,12.231215625893071
5.167269706726074,680,284,3.0413812651491097,77.53896318277121
5.211436748504639,692,285,6.020797289396148,136.31878085885788
5.250637769699097,691,286,0.7071067811865476,18.037968390642686
5.293141603469849,693,286,1.0,23.52728945331344
5.333083868026733,695,295,4.6097722286464435,115.41088818540376
5.3733837604522705,691,296,2.0615528128088303,51.15529319632804
5.414618730545044,703,295,6.020797289396148,146.01192327410737
5.456946849822998,703,298,1.5,35.43743557680934
5.50249981880188,691,301,6.18465843842649,135.76850372351518
5.537012815475464,711,302,10.012492197250394,290.107877097612
5.58210563659668,713,301,1.118033988749895,24.79405725679622
5.621044874191284,708,298,2.9154759474226504,74.87244557213994
5.661334753036499,712,303,3.2015621187164243,79.46318555625709
5.702857971191406,716,303,2.0,48.16582357703504
5.742499828338623,718,302,1.118033988749895,28.20337060894713
5.785391807556152,720,301,1.118033988749895,26.066271809927844
5.8262317180633545,722,306,2.692582403567252,65.93017394326594
5.866560697555542,725,305,1.5811388300841898,39.20602132742999
5.907749652862549,727,304,1.118033988749895,27.144023935943363
5.950512886047363,732,304,2.5,58.46143553261003
5.990917682647705,735,305,1.5811388300841898,39.132453647120066
6.0278966426849365,737,305,1.0,27.042404626662627
6.0710718631744385,738,306,0.7071067811865476,16.377606719078145
6.111159801483154,719,314,10.307764064044152,257.12881477377107
6.155387878417969,718,317,1.5811388300841898,35.74966265014305
6.1949357986450195,708,316,5.024937810560445,127.0594706804174
6.233886957168579,701,314,3.640054944640259,93.45177608616122
6.271377801895142,699,312,1.4142135623730951,37.721571031210075
6.3176047801971436,693,318,4.242640687119285,91.77845584892034
6.356256723403931,692,317,0.7071067811865476,18.294210394637616
6.40007472038269,686,315,3.1622776601683795,72.16846679918424
6.442323923110962,682,312,2.5,59.172714242181414
6.480652570724487,676,309,3.3541019662496847,87.50900892903122
6.524213552474976,675,316,3.5355339059327378,81.16286097920893
6.565601587295532,666,322,5.408326913195984,130.67368230080285
6.60767674446106,665,321,0.7071067811865476,16.805802493018096
6.641162633895874,662,320,1.5811388300841898,47.21806279514018
6.684473752975464,653,315,5.1478150704935,118.85666267439817
6.725538730621338,660,309,4.6097722286464435,112.25556405750552
6.767790794372559,657,308,1.5811388300841898,37.42157636119038
6.81159782409668,642,308,7.5,171.2053989332753
6.895151853561401,654,307,6.020797289396148,72.05873047616763
6.932218790054321,655,301,3.0413812651491097,82.05105554730798
6.975282907485962,656,301,0.5,11.610594383913543
7.015730857849121,658,305,2.23606797749979,55.28260288650983
7.055546760559082,655,299,3.3541019662496847,84.24025924220909
7.100236654281616,657,300,1.118033988749895,25.01760231723585
7.137751579284668,656,296,2.0615528128088303,54.95287042799972
7.176639795303345,654,297,1.118033988749895,28.749942867344163
7.221226930618286,652,297,1.0,22.427993925523495
7.258574724197388,650,297,1.0,26.775343445176446
7.3019609451293945,649,297,0.5,11.524396208270367
7.342624664306641,648,304,3.5355339059327378,86.9456600986732
7.38275671005249,648,306,1.0,24.91774295117807
7.42442774772644,647,307,0.7071067811865476,16.96878265233556
7.463928699493408,641,307,3.0,75.94753710488354
7.5079145431518555,635,307,3.0,68.20376172150252
7.549558639526367,636,307,0.5,12.006503767146816
7.590112686157227,636,307,0.0,0.0
7.673678636550903,633,305,1.8027756377319946,21.573088431821468
7.711432933807373,637,305,2.0,52.97410216415224
7.753295660018921,637,306,0.5,11.94379929948458
7.79162073135376,638,308,1.118033988749895,29.172391591442697
7.828986644744873,638,307,0.5,13.381179653403436
7.877203941345215,639,307,0.5,10.369722801847328
7.918384790420532,638,306,0.7071067811865476,17.17076740922195
7.956148862838745,638,310,2.0,52.96038991375936
7.998796701431274,641,311,1.5811388300841898,37.07430158866623
8.03957462310791,644,313,1.8027756377319946,44.20960077435528
8.075181722640991,648,310,2.5,70.21071732274501
8.124722719192505,649,312,1.118033988749895,22.56785423335887
8.15977168083191,649,308,2.0,57.06303144089357
8.199662685394287,650,306,1.118033988749895,28.027220698381132
8.242735862731934,648,305,1.118033988749895,25.95661750201835
8.284992694854736,648,306,0.5,11.832406143152145
8.325350761413574,646,307,1.118033988749895,27.702862998154703
8.360848665237427,649,309,1.8027756377319946,50.785411067586296
8.40658164024353,650,311,1.118033988749895,24.446998879925967
8.495327949523926,654,312,2.0615528128088303,23.22973010962426
8.53241491317749,656,309,1.8027756377319946,48.60941581985584
8.574069738388062,656,307,1.0,24.006822617664398
8.614369630813599,656,308,0.5,12.406981009288293
8.657161951065063,661,308,2.5,58.42169775578882
8.70035982131958,657,307,2.0615528128088303,47.723482677789704
8.735919713973999,657,305,1.0,28.121569705462324
8.774754762649536,656,303,1.118033988749895,28.789303139309943
8.819446563720703,656,302,0.5,11.187734394588453
8.861198663711548,655,302,0.5,11.975445549077495
8.903344869613647,656,300,1.118033988749895,26.527512140640813
8.942240715026855,657,301,0.7071067811865476,18.179493816746625
8.983304738998413,660,299,1.8027756377319946,43.901582538054726
9.022934675216675,661,299,0.5,12.616724822524365
9.065151929855347,658,299,1.5,35.5304960693955
9.107176780700684,656,299,1.0,23.795444359345304
9.149722814559937,660,301,2.23606797749979,52.5564376904544
9.187355756759644,658,298,1.8027756377319946,47.904190646726235
9.226686954498291,656,298,1.0,25.425109264277097
9.269038677215576,653,298,1.5,35.41768560426941
9.309537649154663,656,292,3.3541019662496847,82.81943480675194
9.350956678390503,656,288,2.0,48.28698395155534
9.39139461517334,657,286,1.118033988749895,27.648146213642196
9.433917760848999,660,286,1.5,35.27490678702588
9.47399377822876,650,290,5.385164807134504,134.3737516656066
9.517180919647217,648,290,1.0,23.155040300320195
9.557588815689087,646,289,1.118033988749895,27.668700879437107
9.59805679321289,644,289,1.0,24.710896397325243
9.638145685195923,643,288,0.7071067811865476,17.638471561794056
9.679785966873169,646,289,1.5811388300841898,37.97137690709203
9.720210790634155,645,288,0.7071067811865476,17.491895211896278
9.758712768554688,644,296,4.031128874149275,104.69926720308999
9.804811716079712,644,299,1.5,32.53870382150781
9.839485883712769,645,304,2.5495097567963922,73.52764120473985
9.882976531982422,645,305,0.5,11.496724465909777
9.925788879394531,645,304,0.5,11.678873741423862
9.964516639709473,645,302,1.0,25.82127114679012
10.00789189338684,647,300,1.4142135623730951,32.60415657490407
10.046093702316284,646,300,0.5,13.088385445921487
10.091270685195923,646,300,0.0,0.0
10.132850885391235,645,303,1.5811388300841898,38.0262438049165
10.170678615570068,646,303,0.5,13.217816602693794
10.216533660888672,647,302,0.7071067811865476,15.420479388331833
10.254366874694824,646,303,0.7071067811865476,18.690106127636444
10.296021699905396,649,302,1.5811388300841898,37.958119427732555
10.333552837371826,648,302,0.5,13.3222714192241
10.376035690307617,648,302,0.0,0.0
10.418693780899048,650,297,2.692582403567252,63.120087332463704
10.4598388671875,650,297,0.0,0.0
10.501290798187256,651,296,0.7071067811865476,17.058476267142108
10.541775703430176,652,293,1.5811388300841898,39.05502113928505
10.582035779953003,652,292,0.5,12.419251108887085
10.622147798538208,652,292,0.0,0.0
10.667603969573975,649,292,1.5,32.99881987023818
10.70777177810669,650,293,0.7071067811865476,17.60381775895594
10.745194911956787,650,293,0.0,0.0
10.784344673156738,650,293,0.0,0.0
10.82811975479126,651,298,2.5495097567963922,58.24111941314628
10.86872386932373,647,296,2.23606797749979,55.069984981734514
10.910134553909302,650,296,1.5,36.22253568159181
10.951291799545288,651,295,0.7071067811865476,17.180614743768963
10.992130756378174,651,299,2.0,48.97284737668646
11.036184787750244,651,296,1.5,34.04909728536173
11.076076745986938,652,299,1.5811388300841898,39.635528060635295
11.115895748138428,650,299,1.0,25.113637860525827
11.154023885726929,648,296,1.8027756377319946,47.28202717868107
11.198739767074585,650,295,1.118033988749895,25.00306278338615
11.236933708190918,651,295,0.5,13.091081605772892
11.277092695236206,652,295,0.5,12.45051324218263
11.321656703948975,652,297,1.0,22.439632988256694
11.359100818634033,653,297,0.5,13.353233323994601
11.400251865386963,649,299,2.23606797749979,54.33805829837357
11.44299578666687,649,299,0.0,0.0
11.482988595962524,651,299,1.0,25.004494998271156
11.527139663696289,651,299,0.0,0.0
